,id,titel,output,areaLevel1,areaLevel2,areaLevel3
65,"Highest_Algemene wet inkomensafhankelijke regelingen, Artikel 15","Algemene wet inkomensafhankelijke regelingen, Artikel 15","Uw vraagt lijkt te gaan om <b>Algemene wet inkomensafhankelijke regelingen, Artikel 15</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Arbeidsrecht en Socialezekerheidsrecht,Socialezekerheidsrecht
66,"Highest_Algemene wet inkomensafhankelijke regelingen, Artikel 18","Algemene wet inkomensafhankelijke regelingen, Artikel 18","Uw vraagt lijkt te gaan om <b>Algemene wet inkomensafhankelijke regelingen, Artikel 18</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Arbeidsrecht en Socialezekerheidsrecht,Socialezekerheidsrecht
67,"Highest_Algemene wet inkomensafhankelijke regelingen, Artikel 31","Algemene wet inkomensafhankelijke regelingen, Artikel 31","Uw vraagt lijkt te gaan om <b>Algemene wet inkomensafhankelijke regelingen, Artikel 31</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Arbeidsrecht en Socialezekerheidsrecht,Socialezekerheidsrecht
68,"Highest_Algemene wet inkomensafhankelijke regelingen, Artikel 7","Algemene wet inkomensafhankelijke regelingen, Artikel 7","Uw vraagt lijkt te gaan om <b>Algemene wet inkomensafhankelijke regelingen, Artikel 7</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Arbeidsrecht en Socialezekerheidsrecht,Socialezekerheidsrecht
69,"Highest_Algemene wet inzake rijksbelastingen, Artikel 16","Algemene wet inzake rijksbelastingen, Artikel 16","Uw vraagt lijkt te gaan om <b>Algemene wet inzake rijksbelastingen, Artikel 16</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Belastingrecht,
70,"Highest_Algemene wet inzake rijksbelastingen, Artikel 20","Algemene wet inzake rijksbelastingen, Artikel 20","Uw vraagt lijkt te gaan om <b>Algemene wet inzake rijksbelastingen, Artikel 20</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Belastingrecht,
71,"Highest_Algemene wet inzake rijksbelastingen, Artikel 22j","Algemene wet inzake rijksbelastingen, Artikel 22j","Uw vraagt lijkt te gaan om <b>Algemene wet inzake rijksbelastingen, Artikel 22j</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Belastingrecht,
72,"Highest_Algemene wet inzake rijksbelastingen, Artikel 27e","Algemene wet inzake rijksbelastingen, Artikel 27e","Uw vraagt lijkt te gaan om <b>Algemene wet inzake rijksbelastingen, Artikel 27e</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Belastingrecht,
73,"Highest_Algemene wet inzake rijksbelastingen, Artikel 52a","Algemene wet inzake rijksbelastingen, Artikel 52a","Uw vraagt lijkt te gaan om <b>Algemene wet inzake rijksbelastingen, Artikel 52a</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Belastingrecht,
74,"Highest_Algemene wet inzake rijksbelastingen, Artikel 67a","Algemene wet inzake rijksbelastingen, Artikel 67a","Uw vraagt lijkt te gaan om <b>Algemene wet inzake rijksbelastingen, Artikel 67a</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Belastingrecht,
75,"Highest_Algemene wet inzake rijksbelastingen, Artikel 67e","Algemene wet inzake rijksbelastingen, Artikel 67e","Uw vraagt lijkt te gaan om <b>Algemene wet inzake rijksbelastingen, Artikel 67e</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Belastingrecht,
76,"Highest_Algemene wet inzake rijksbelastingen, Artikel 67f","Algemene wet inzake rijksbelastingen, Artikel 67f","Uw vraagt lijkt te gaan om <b>Algemene wet inzake rijksbelastingen, Artikel 67f</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.",Bestuursrecht,Belastingrecht,
77,Highest_Algemene wet op het binnentreden,Algemene wet op het binnentreden,Uw vraagt lijkt te gaan om <b>Algemene wet op het binnentreden</b>. Wij hebben daarom de relevante filters al ingesteld. Deze kunt u altijd nog hierboven veranderen.,Civiel recht,Procesrecht,Strafprocesrecht
